4933401J01Rik chr1:3073252-3074322
Gm26206 chr1:3102015-3102125
Xkr4 chr1:3214481-3671498
Gm37180 chr1:3365730-3368549
Gm37363 chr1:3375555-3377788
Gm37686 chr1:3464976-3467285
Gm1992 chr1:3466586-3513553
Gm37329 chr1:3512450-3514507
Gm38148 chr1:3592891-3595903
Gm19938 chr1:3647308-3658904
Gm10568 chr1:3680154-3681788
Gm38385 chr1:3752009-3754360
Gm27396 chr1:3783875-3783933
Gm37381 chr1:3905738-3986215
Rp1 chr1:3999556-4409241
Gm37483 chr1:4363345-4364829
Sox17 chr1:4490930-4497354
Gm37587 chr1:4497473-4499558
Gm22307 chr1:4529016-4529123
Gm37323 chr1:4583128-4586252
Gm25493 chr1:4723276-4723379
Mrpl15 chr1:4773205-4785739
Gm37144 chr1:4778062-4779212
Lypla1 chr1:4807822-4846739
Gm37988 chr1:4807891-4886770
Tcea1 chr1:4857813-4897909
Gm37277 chr1:4905750-4906861
Rgs20 chr1:4909575-5070285
Gm37079 chr1:4938575-4940710
Gm16041 chr1:4970856-4976820
Atp6v1h chr1:5070017-5162529
Gm37567 chr1:5307738-5310017
Gm38264 chr1:5403546-5405578
Oprk1 chr1:5588492-5606131
Gm22463 chr1:5644644-5644745
Gm37429 chr1:5842873-5844672
Npbwr1 chr1:5913706-5917398
4732440D04Rik chr1:6209865-6215293
Rb1cc1 chr1:6214644-6276648
Fam150a chr1:6359217-6394731
St18 chr1:6487230-6860940
Gm42492 chr1:6861236-6864151
Pcmtd1 chr1:7088919-7173628
Gm38372 chr1:7148109-7152137
Gm23274 chr1:7265802-7265932
Gm26901 chr1:7349405-7397869
Gm30414 chr1:7497967-7518149
Sntg1 chr1:8361474-9299238
Gm38024 chr1:8450959-8453491
Gm38259 chr1:8527779-8531313
Gm23358 chr1:8588614-8588724
Gm37005 chr1:8643695-8644859
Gm24276 chr1:8816137-8816247
Gm37629 chr1:9191066-9192116
Gm37143 chr1:9286921-9290180
Gm24765 chr1:9458669-9458772
Rrs1 chr1:9545407-9547455
Adhfe1 chr1:9547947-9577970
2610203C22Rik chr1:9560831-9631144
3110035E14Rik chr1:9601198-9627143
Gm29520 chr1:9639254-9640582
Mybl1 chr1:9667414-9700209
Vcpip1 chr1:9718621-9748382
1700034P13Rik chr1:9747955-9791924
Sgk3 chr1:9798106-9900845
Gm22607 chr1:9834497-9834602
Mcmdc2 chr1:9908637-9942085
