chrom	start	stop
chr2	98666837	98666858
chr6	103649116	103649320
chr12	3109820	3110024
chr9	3000461	3000665
chrX	143482958	143483162
chr3	5860555	5860759
chr9	35305406	35305610
chr16	57391451	57391655
chr16	11143987	11144191
chr6	3201406	3201610
chr18	68692027	68692231
chr15	75086654	75086858
chr6	124885185	124885389
chr9	123717483	123717687
chr3	108389280	108389484
chrUn_GL456392	22194	22245
chrUn_GL456392	22643	22810
chr8	111595860	111596064
chr1	144330423	144330627
chr5	93206616	93206820
chr9	24541999	24542203
chr14	54227419	54227623
chr1	173398727	173398931
chr9	56223807	56224011
chr9	61708009	61708213
chr9	123461890	123462094
chr10	19062597	19062801
chr10	19062248	19062397
chrUn_GL456389	10510	10714
chr10	42897711	42897915
chr18	68227649	68227853
chr9	32926341	32926545
chr11	52314137	52314331
chr1	161766835	161766897
chr3	115815613	115815817
chr4	45012432	45012636
chr4	32250422	32250626
chr10	13982924	13983128
chr6	48554622	48554826
chr15	27596919	27597123
chr3	27153963	27154167
chr3	106788650	106788854
chr9	32928557	32928761
chr17	84333023	84333227
chr1	164135441	164135645
chr1	182358222	182358426
chr14	54233388	54233592
chr3	19258621	19258825
chr1	128611848	128612052
chr2	11218198	11218402
chr4	102506978	102507182
chr13	28551688	28551892
chr17	52162700	52162904
chr3	36854165	36854369
chr6	41554378	41554582
chr6	48733004	48733208
chr11	77386439	77386643
chr4	101187421	101187625
chr11	83079909	83080113
chr10	19185983	19186187
chr1	184005708	184005912
chr9	72465889	72466093
chr17	84330612	84330816
chr9	116338384	116338588
chr13	112001237	112001253
chr13	112000823	112001027
chr5	124034531	124034735
chr13	55432445	55432649
chr8	25625351	25625555
chr17	84313634	84313838
chr1	183299156	183299360
chr6	142915520	142915724
chr10	40349091	40349174
chr3	131157486	131157690
chr13	85507218	85507276
chr13	85507816	85507834
chr10	117947963	117948167
chrX	70385714	70385918
chr10	28593936	28594140
chr6	99261414	99261618
chr7	101580971	101581175
chr13	117216198	117216402
chr16	33708176	33708380
chr17	72949306	72949510
chr11	40733556	40733760
chr13	51768062	51768266
chr19	57355741	57355945
chr5	72636155	72636359
chr1	144307136	144307340
chr2	75682982	75683186
chr4	132040375	132040579
chr12	84243179	84243383
chr19	31210688	31210892
chr6	87503956	87504160
chr14	73117101	73117305
chr1	95667497	95667701
chr3	115972314	115972518
chr5	34196552	34196756
chr7	75486097	75486301
chr11	75976879	75977083
chr8	14961403	14961607
chr12	35799363	35799567
chr8	25274324	25274528
chr7	47008192	47008396
chr9	32910770	32910974
chr11	46344201	46344405
chr11	46389453	46389657
chr12	33315304	33315508
chr13	24617866	24618070
chr1	53851421	53851625
chr2	166620608	166620812
chr9	44986601	44986805
chr10	21235250	21235454
chr3	115800932	115801136
chr19	11485665	11485869
chr9	116366315	116366519
chr15	57772800	57773004
chr15	102458932	102459136
chr2	13718843	13719047
chr7	125488785	125488989
chr10	96400844	96401048
chr14	121938727	121938931
chr4	102569171	102569321
chr11	106536266	106536470
chr11	106779563	106779767
chr15	66445353	66445557
chr1	36761663	36761867
chr1	138191925	138192129
chr6	129210483	129210687
chr8	123000482	123000686
chr11	52275446	52275650
chr7	114479849	114480053
chr9	72985312	72985516
chr16	45252166	45252370
chr1	40475795	40475999
chr13	24604798	24605002
chr19	53424785	53424989
chr3	106462068	106462272
chr5	62858221	62858425
chr11	54522542	54522746
chr19	11355853	11356057
chr1	106612746	106612950
chr2	13757539	13757743
chr7	119836436	119836535
chr9	15550724	15550928
chr11	11726109	11726313
chr18	75377518	75377722
chr2	58179138	58179342
chr9	13466495	13466699
chr11	107417362	107417566
chr14	121915773	121915977
chr16	23175027	23175165
chr2	71814097	71814301
chr2	140042595	140042799
chr6	125573263	125573285
chr7	4136831	4137035
chr7	75600439	75600643
chr9	61679711	61679915
chr10	96371039	96371243
chr15	9574910	9575114
chr16	51690884	51691088
chr17	28612673	28612877
chr7	31153675	31153879
chr16	55948066	55948270
chr1	80643953	80644157
chr4	108460728	108460932
chr5	28315651	28315855
chr11	46399193	46399397
chr11	87751700	87751904
chr12	107139018	107139222
chr5	23418504	23418589
chr5	37067287	37067491
chr5	64161100	64161304
chr11	77349077	77349281
chr15	62164881	62165085
chr17	51408460	51408664
chr1	51584957	51585161
chr1	95655626	95655830
chr4	6970654	6970858
chr9	96935906	96936110
chr10	19578072	19578276
chr10	80991181	80991385
chr13	95375306	95375510
chr13	96956569	96956773
chr13	112424804	112425008
chr19	41933175	41933379
chr1	106600960	106601164
chr4	32258196	32258400
chr12	99640520	99640724
chr12	103331481	103331685
chr2	3726811	3727015
chr2	157119134	157119338
chr6	52640401	52640605
chr6	94681530	94681734
chr10	39192768	39192972
chr11	94697870	94698074
chr15	53157269	53157473
chr1	138304264	138304336
chr2	91710526	91710702
chr3	103860088	103860292
chr4	134918445	134918649
chr18	6764820	6765024
chr5	37051478	37051682
chr5	139382303	139382507
chr12	51865887	51866091
chr16	43664137	43664341
chr2	119046816	119047020
chr7	44848843	44849047
chr10	19117083	19117278
chr13	41487241	41487445
chr14	121929382	121929406
chr15	55829097	55829301
chr16	64758629	64758833
chr3	115799379	115799583
chr8	46941389	46941593
chr15	6568999	6569203
chr16	20097576	20097667
chr18	32970361	32970565
chr18	56447203	56447407
chr19	11516967	11517171
chr1	80665248	80665452
chr2	32495313	32495517
chr2	128377794	128377998
chr2	167777877	167778081
chr7	114317472	114317676
chr17	26503068	26503272
chr19	3768700	3768904
chr5	64487992	64488196
chr6	17066255	17066380
chr7	75656532	75656736
chr8	126585530	126585734
chr10	13993600	13993804
chr11	30182750	30182954
chr12	8351429	8351633
chr12	34990380	34990584
chr14	66199826	66200030
chr14	101477890	101477985
chr14	101477369	101477458
chr19	32197275	32197479
chr1	21333646	21333850
chr1	34011366	34011570
chr1	144006577	144006781
chr4	32343836	32344040
chr7	79272878	79273082
chr7	83655304	83655508
chr8	124701063	124701267
chr15	53115507	53115711
chr1	64532015	64532219
chr1	183987840	183988044
chr2	29661889	29662093
chr2	117417512	117417716
chr8	119423876	119424080
chr12	79646727	79646931
chr14	65343789	65343993
chr15	62169700	62169904
chr17	47531618	47531822
chr1	164960140	164960344
chr3	60516360	60516564
chr4	154936626	154936830
chr6	39334216	39334420
chr8	34216354	34216558
chr8	81497576	81497780
chr11	54801932	54802136
chr12	85455496	85455700
chr13	109822434	109822638
chr19	11362168	11362372
chr19	11505096	11505142
chr6	72954947	72955151
chr9	96583122	96583326
chr14	79537473	79537677
chr15	5108426	5108630
chr17	84845027	84845231
chr18	20962618	20962822
chr1	171963709	171963913
chr2	60904240	60904444
chr2	158719284	158719488
chr7	104291640	104291646
chr11	104661105	104661309
chr1	43933509	43933713
chr1	80728310	80728514
chr1	161804826	161805030
chr3	60413860	60414064
chr5	134269846	134270050
chr7	28382294	28382380
chr9	13443562	13443766
chr9	61669923	61670127
chr11	101732812	101733016
chr15	66825479	66825683
chr17	72917492	72917696
chr19	6363212	6363416
chr2	61514119	61514323
chr7	75572263	75572467
chr8	86708009	86708213
chr9	96350540	96350744
chr11	45794657	45794861
chr13	44869641	44869726
chr16	91044594	91044798
chr1	53774018	53774222
chr1	180195903	180196107
chr2	22805611	22805815
chr3	97628689	97628893
chr3	115933666	115933870
chr3	135665758	135665962
chr5	29735802	29736006
chr8	72354487	72354691
chr9	88731751	88731955
chr11	32061946	32062150
chr12	36019675	36019879
chr15	66801623	66801827
chr17	51906484	51906688
chr1	40479527	40479731
chr1	60755877	60755922
chr1	193201409	193201613
chr2	18952261	18952465
chr2	57238778	57238982
chr3	136742736	136742940
chr4	44022371	44022537
chr4	120975403	120975569
chr5	121107120	121107324
chr6	71440657	71440861
chr7	125472174	125472378
chr9	46176057	46176261
chr9	61702643	61702847
chr9	69034641	69034845
chr13	95892143	95892347
chr15	97469969	97470173
chr1	60882955	60883159
chr1	88709073	88709277
chr1	180403699	180403903
chr3	103868110	103868314
chr8	125337548	125337752
chr12	85447179	85447383
chr16	55583033	55583237
chr2	9594083	9594287
chr2	11170069	11170273
chr2	32493497	32493701
chr2	156180168	156180372
chr5	122131482	122131686
chr7	101555571	101555775
chr10	98878065	98878269
chr11	68451348	68451552
chr11	118232425	118232629
chr11	121237054	121237258
chr17	87119027	87119231
chr1	39842292	39842496
chr1	60898600	60898804
chr1	87847330	87847534
chr2	71032260	71032464
chr3	106832240	106832444
chr7	27933499	27933703
chr8	81636295	81636499
chr8	81703840	81703898
chr8	126662960	126663164
chr10	128637140	128637344
chr12	73598335	73598539
chr17	86301376	86301580
chr1	171921051	171921255
chr2	3717909	3718113
chr4	86886149	86886317
chr5	96996975	96997179
chr5	140596918	140597122
chr8	81491927	81492131
chr8	81558555	81558759
chr9	32591981	32592185
chr11	63984812	63985016
chr11	99204005	99204209
chr14	26669820	26670024
chr15	73149672	73149876
chr16	23144391	23144595
chr19	53441479	53441683
chr1	88277501	88277705
chr4	108318777	108318981
chr6	136941331	136941334
chr6	136941727	136941931
chr7	4685054	4685258
chr7	128383831	128384035
chr9	32495750	32495954
chr9	107950824	107951028
chr10	118882620	118882824
chr11	106750507	106750711
chr13	5845751	5845955
chr13	111984062	111984266
chr16	75855545	75855749
chr19	32275615	32275819
chr2	43727773	43727977
chr4	129335211	129335415
chr4	149697883	149698087
chr6	31184684	31184888
chr6	129284485	129284689
chr7	126976002	126976206
chr9	44017934	44018138
chr10	14045910	14046114
chr10	95745859	95746063
chr10	99241936	99242140
chr14	74847660	74847864
chr17	23620414	23620618
chr17	71485836	71486040
chrX	107089050	107089254
chr2	5379223	5379427
chr2	72838132	72838336
chr8	81782891	81783095
chr10	93171240	93171444
chr10	96410088	96410292
chr10	118419016	118419220
chr11	99170906	99171110
chr13	85430126	85430330
chr13	113579896	113580100
chr14	10453044	10453248
chr15	58165329	58165533
chr15	79347875	79348079
chr17	84119668	84119872
chr18	75367034	75367238
chr19	12796746	12796950
chr19	53893649	53893853
chr2	11193308	11193512
chr5	21411425	21411629
chr5	146832861	146833065
chr7	80947875	80948079
chr8	126847671	126847875
chr9	31301148	31301352
chr10	42277806	42278010
chr10	96201298	96201502
chr11	32582955	32583159
chr12	31950494	31950698
chr12	35021421	35021625
chr13	24599631	24599835
chr13	104574398	104574602
chr14	16173387	16173591
chr14	104715787	104715991
chr15	100905115	100905319
chr19	36833467	36833671
chr19	53464763	53464967
chrX	42502478	42502682
chr1	87829817	87830021
chr2	127927943	127928147
chr3	89872302	89872506
chr3	131208595	131208799
chr5	64684253	64684457
chr5	100585274	100585478
chr6	29853588	29853792
chr6	99050572	99050669
chr6	143115293	143115497
chr7	73537970	73538174
chr9	32706218	32706422
chr9	32938966	32939170
chr9	41118188	41118392
chr10	60351900	60352104
chr10	127141557	127141761
chr12	55464744	55464948
chr13	101707401	101707511
chr13	108297634	108297824
chr15	9528246	9528450
chr1	69544172	69544376
chr1	69768943	69769147
chr2	163103255	163103459
chr3	130947334	130947538
chr5	115490446	115490650
chr6	94665325	94665529
chr6	140708213	140708417
chr8	41417046	41417250
chr9	59941779	59941978
chr9	63706404	63706608
chr9	115611769	115611973
chr10	96693945	96694149
chr10	96787245	96787449
chr10	116913964	116914123
chr11	103115481	103115685
chr11	109426014	109426218
chr13	24419684	24419888
chr16	23181642	23181846
chr16	91545590	91545794
chr17	17625316	17625325
chr17	17624709	17624718
chr1	53797163	53797367
chr2	103682439	103682643
chr2	167942819	167943023
chr3	115682792	115682996
chr4	11721529	11721733
chr4	32335688	32335892
chr4	101167863	101168067
chr6	99394679	99394883
chr8	126832694	126832898
chr10	17772373	17772577
chr11	11711793	11711997
chr11	62550834	62551038
chr12	100883270	100883474
chr12	102628347	102628551
chr15	77733416	77733620
chr17	7927730	7927880
chr17	7928192	7928346
chr17	29428962	29429166
chr18	65381887	65382091
chr2	43738925	43739129
chr4	154160832	154161036
chr6	70825013	70825217
chr6	134829851	134830050
chr7	58448731	58448890
chr8	109565706	109565910
chr8	123042313	123042517
chr11	99130832	99131036
chr11	109011810	109011934
chr13	30792429	30792633
chr13	49242858	49243062
chr13	55444521	55444725
chr15	27828063	27828267
chr15	36396256	36396460
chr15	97374027	97374231
chr15	102470301	102470505
chr16	32651074	32651278
chr17	5804443	5804647
chr19	10731980	10732184
chr2	13760435	13760639
chr3	19430245	19430449
chr3	52878369	52878573
chr3	87885828	87886032
chr4	116010289	116010493
chr6	22349620	22349824
chr6	51060128	51060187
chr6	85961386	85961542
chr9	21288125	21288329
chr9	88329088	88329292
chr10	19506116	19506320
chr10	62449645	62449849
chr10	130322677	130322881
chr11	32126201	32126405
chr11	118145778	118145982
chr13	44507099	44507303
chr13	111796533	111796737
chr16	32750840	32751044
chr16	52061006	52061210
chr17	28697352	28697556
chr17	73142101	73142305
chr18	32240091	32240295
chr19	11435070	11435274
chr1	54871425	54871629
chr1	80746178	80746382
chr3	131112278	131112482
chr5	31698402	31698606
chr6	99380157	99380361
chr6	120364267	120364402
chr6	129180392	129180596
chr7	68129033	68129237
chr7	117613853	117614057
chr10	62506355	62506559
chr10	118083160	118083364
chr11	3332229	3332433
chr11	44520244	44520448
chr14	54518721	54518925
chr15	100060903	100061099
chr16	89938490	89938694
chr17	29394145	29394314
chr19	47731153	47731357
chr1	60777028	60777232
chr1	60941213	60941272
chr1	60941773	60941829
chr1	156615766	156615923
chr2	4652038	4652242
chr2	32063204	32063408
chr2	68430531	68430735
chr3	88510236	88510440
chr3	142497412	142497616
chr5	144221381	144221585
chr6	8485508	8485712
chr7	16924164	16924368
chr7	102266789	102266993
chr8	106054234	106054438
chr9	63740639	63740843
chr10	88731084	88731288
chr10	93227886	93228078
chr11	46372428	46372632
chr11	88145316	88145520
chr14	19961998	19962202
chr14	60736777	60736981
chr15	6592714	6592918
chr15	101246416	101246620
chr17	26508492	26508680
chr17	72996698	72996902
chr17	84306248	84306452
chr18	89206324	89206528
chr19	46620010	46620214
chrX	7583949	7584153
chr1	151683013	151683217
chr1	160307357	160307561
chr2	129180393	129180538
chr2	173452069	173452273
chr3	100482618	100482822
chr4	118409289	118409493
chr4	135436473	135436677
chr6	31126587	31126791
chr6	129275361	129275565
chr8	4313711	4313915
chr8	128549849	128550053
chr9	32962770	32962974
chr9	89199064	89199268
chr9	114440725	114440929
chr10	12923252	12923456
chr12	28834455	28834659
chr12	73611772	73611976
chr14	122000796	122001000
chr15	55844839	55845043
chr16	57471193	57471212
chr16	92801665	92801869
chr17	40934512	40934716
chr18	73835230	73835434
chr19	53807267	53807471
chr19	53899952	53900156
chr1	36307934	36308138
chr1	88587436	88587640
chr2	43748617	43748821
chr2	164521868	164522072
chr2	173018022	173018226
chr3	21987783	21987987
chr3	52458830	52459034
chr4	150569998	150570202
chr5	107754831	107754855
chr5	122288457	122288661
chr6	108549492	108549696
chr7	35234552	35234756
chr7	78721592	78721796
chr8	15018204	15018408
chr9	18292096	18292300
chr11	49094022	49094226
chr11	117327033	117327237
chr12	73842319	73842523
chr12	112854993	112855123
chr13	20185151	20185355
chr13	46690915	46691119
chr15	36364156	36364360
chr15	66560969	66561173
chr16	36477044	36477248
chr16	46120132	46120336
chr16	52081900	52082104
chr19	11447318	11447522
chr19	29252804	29253008
chrX	159677675	159677879
chr1	54841908	54842112
chr1	178405607	178405680
chr2	9691625	9691829
chr2	22784264	22784468
chr4	8811111	8811315
chr4	133707006	133707210
chr5	147063332	147063536
chr6	134917151	134917355
chr7	31002715	31002919
chr7	73618512	73618597
chr7	114088090	114088294
chr8	111644473	111644677
chr9	114753061	114753265
chr9	116189045	116189249
chr9	123928962	123929166
chr10	17723064	17723250
chr10	44448171	44448375
chr10	95313707	95313911
chr11	6444405	6444609
chr11	46326854	46327058
chr11	69758437	69758574
chr12	54710279	54710397
chr12	54738478	54738561
chr13	36808103	36808307
chr14	27229477	27229681
chr14	46822134	46822338
chr15	81097982	81098186
chr16	45223987	45224191
chr16	78577208	78577259
chr16	84583994	84584198
chr16	91458363	91458469
chr18	37883567	37883771
chr18	53744735	53744769
chr18	80612098	80612302
chr1	80637124	80637328
chr1	131204432	131204636
chr1	162728142	162728346
chr1	193173415	193173559
chr2	48322398	48322602
chr3	107038220	107038424
chr3	131117846	131118050
chr4	32363692	32363896
chr4	57813613	57813817
chr4	150545031	150545235
chr5	141018036	141018240
chr6	99522858	99523062
chr7	24457721	24457925
chr7	125507226	125507430
chr8	3355666	3355870
chr8	81702141	81702345
chr10	96616683	96616887
chr11	5435626	5435830
chr11	6679959	6680163
chr11	117872009	117872213
chr12	9030109	9030303
chr12	32954468	32954672
chr12	54729626	54729830
chr12	110494973	110495177
chr12	110504994	110505198
chr13	46735865	46736040
chr13	48515968	48516172
chr15	6601500	6601704
chr15	12010823	12011027
chr15	12010435	12010487
chr15	66854800	66855004
chr16	45025497	45025701
chr16	49839792	49839996
chr16	75909196	75909400
chr17	25015815	25015895
chr17	33981166	33981370
chr17	35258332	35258536
chr17	51904093	51904297
chr18	53177424	53177628
chr1	54923938	54924142
chr2	102873998	102874202
chr3	60496242	60496446
chr3	69159621	69159825
chr3	88141889	88141944
chr3	152941830	152942034
chr4	130914151	130914355
chr5	45669617	45669821
chr5	104046451	104046655
chr6	37463972	37464176
chr6	125241658	125241862
chr6	146081206	146081410
chr7	25754971	25755104
chr7	25835648	25835852
chr7	102250549	102250694
chr9	14200156	14200360
chr9	44031211	44031415
chr9	45955146	45955350
chr10	7832219	7832423
chr10	97313602	97313806
chr11	6705055	6705259
chr11	11521883	11522087
chr11	17953295	17953499
chr11	77371225	77371429
chr12	85444688	85444892
chr13	28512657	28512861
chr13	28512962	28513093
chr13	117048428	117048632
chr15	60132861	60133065
chr15	83172194	83172398
chr17	25273559	25273720
chr18	65479198	65479402
chr1	80213917	80214121
chr1	131080828	131081032
chr2	132512447	132512651
chr2	151741238	151741442
chr2	167368526	167368730
chr3	37205391	37205595
chr6	58844372	58844576
chr7	106236774	106236978
chr8	14985589	14985793
chr9	15018227	15018431
chr10	19015332	19015536
chr10	34019748	34019952
chr10	98785450	98785654
chr11	55023119	55023323
chr13	90089457	90089661
chr15	66789114	66789318
chr15	73162027	73162231
chr15	77834429	77834633
chr16	51675108	51675312
chr16	78198741	78198945
chr17	15010057	15010261
chr18	65319124	65319328
chrX	159758211	159758415
chr1	23915629	23915833
chr1	60746212	60746416
chr1	80441016	80441220
chr1	88578380	88578462
chr1	127214889	127215093
chr1	153723478	153723682
chr1	191193729	191193933
chr2	11636145	11636349
chr2	11635785	11635845
chr2	76215293	76215497
chr3	27182810	27183014
chr3	68981080	68981284
chr3	106485918	106486122
chr3	131014014	131014218
chr4	97772312	97772516
chr5	96164170	96164374
chr5	138171094	138171298
chr6	90740834	90741038
chr7	31160838	31161042
chr9	14908051	14908255
chr10	21905711	21905915
chr10	23787287	23787491
chr10	75591585	75591789
chr10	95779780	95779984
chr11	55136746	55136950
chr11	82947543	82947747
chr11	98470096	98470300
chr12	73715992	73716196
chr13	111977926	111977967
chr14	50785132	50785336
chr15	83602731	83602935
chr16	42875422	42875455
chr16	51705081	51705285
chr16	76336999	76337203
chr17	72967881	72968085
chr18	50016850	50017054
chr1	39917830	39918034
chr1	43465027	43465231
chr1	43542403	43542607
chr2	62391029	62391233
chr3	52572516	52572720
chr3	52643956	52643989
chr3	68974878	68975026
chr3	106966309	106966513
chr4	40875794	40875998
chr5	64498523	64498727
chr5	88554167	88554371
chr6	13069853	13069921
chr6	108536966	108537170
chr6	136464245	136464449
chr7	25267480	25267684
chr8	19784679	19784807
chr9	32915736	32915940
chr9	95113415	95113619
chr10	14057930	14057999
chr10	99261657	99261861
chr10	127163042	127163246
chr11	34010809	34011013
chr11	34771646	34771660
chr11	86757537	86757741
chr11	109431376	109431580
chr12	54719132	54719262
chr13	111807774	111807978
chr13	112437993	112438197
chr14	122063761	122063965
chr15	27925908	27926112
chr15	36214850	36215054
chr15	65727118	65727322
chr15	80743671	80743875
chr16	10844035	10844239
chr16	52129591	52129795
chr19	9055729	9055933
chr19	21713634	21713838
chr19	23323210	23323414
chr19	29418600	29418804
chr1	36920280	36920484
chr1	78537481	78537685
chr1	132008148	132008252
chr1	144273208	144273412
chr2	30124449	30124653
chr2	31108301	31108505
chr2	65189427	65189631
chr2	91444639	91444843
chr4	32263347	32263419
chr4	59275531	59275735
chr4	59331796	59332000
chr4	150808626	150808830
chr5	105114800	105115004
chr6	88075053	88075257
chr6	99172288	99172310
chr6	108553641	108553845
chr6	113696787	113696991
chr7	101466295	101466499
chr7	113207149	113207353
chr8	22808528	22808722
chr9	32487474	32487678
chr9	50768109	50768313
chr9	66888139	66888343
chr9	107312941	107313145
chr10	13553059	13553263
chr10	40163392	40163596
chr10	68240338	68240465
chr10	99386005	99386209
chr12	16532425	16532629
chr13	24639877	24640081
chr14	74946711	74946915
chr15	9701877	9702081
chr15	76770262	76770466
chr15	100845343	100845547
chr16	43690170	43690374
chr16	50372423	50372627
chr16	91825929	91826133
chr17	7874940	7875144
chr17	35460860	35461064
chr17	73169755	73169959
chr18	10610054	10610258
chr18	20946431	20946635
chr18	75278670	75278874
chr1	54585533	54585737
chr1	127233087	127233291
chr1	165701299	165701380
chr2	93454353	93454557
chr3	38280335	38280539
chr3	95669096	95669300
chr3	108562348	108562552
chr3	126660699	126660903
chr4	32148706	32148910
chr4	32164851	32165054
chr4	108847736	108847940
chr4	129810928	129811132
chr5	122990535	122990569
chr6	71633302	71633506
chr7	108934132	108934336
chr7	125581414	125581526
chr8	84985879	84986083
chr9	20385117	20385321
chr9	57866703	57866907
chr10	18047807	18048011
chr10	19494523	19494727
chr10	63424534	63424738
chr10	80249252	80249383
chr10	128746288	128746492
chr11	96467045	96467249
chr11	98487868	98487988
chr12	80792972	80793176
chr12	116145323	116145527
chr13	43171251	43171455
chr13	81176178	81176288
chr14	52257746	52257950
chr14	62940793	62940997
chr14	69780422	69780626
chr15	30610697	30610901
chr15	81301258	81301462
chr16	24910481	24910685
chr17	29973365	29973569
chr17	70973774	70973978
chr18	33213601	33213805
chr18	34856252	34856456
chr18	67725035	67725239
chr19	18619232	18619436
chrX	7721767	7721971
chr1	36264206	36264410
chr1	136608448	136608652
chr1	138290252	138290456
chr1	161670978	161671182
chr1	183180313	183180517
chr2	11204326	11204530
chr3	52267949	52268153
chr3	52929903	52930107
chr3	95972336	95972540
chr3	108554738	108554942
chr3	149326752	149326956
chr4	11088979	11089032
chr4	133162437	133162641
chr4	152008716	152008920
chr5	143630895	143631099
chr6	21949228	21949432
chr6	49236467	49236671
chr6	114875217	114875298
chr7	75374634	75374838
chr7	117428790	117428862
chr8	13213554	13213758
chr8	25617963	25618167
chr8	125067185	125067389
chr9	57339943	57340147
chr9	66615116	66615320
chr10	18235084	18235254
chr10	80433809	80434013
chr10	93124376	93124580
chr11	119166037	119166241
chr12	69447944	69448148
chr12	98246871	98247075
chr13	23739438	23739642
chr13	73736965	73737169
chr15	80800808	80801012
chr16	45942177	45942381
chr17	50470493	50470697
chr1	53050210	53050414
chr1	92069607	92069811
chr1	128605836	128606040
chr1	132011006	132011210
chr1	136617363	136617567
chr1	180335711	180335915
chr2	6478445	6478649
chr2	13558663	13558867
chr2	71211638	71211842
chr2	91650059	91650263
chr2	157147593	157147797
chr2	164084060	164084264
chr3	20222869	20222890
chr3	32736856	32737060
chr3	88939952	88940156
chr3	101012126	101012330
chr4	15958315	15958519
chr4	40839321	40839525
chr4	150566192	150566396
chr5	122821343	122821416
chr6	34862918	34863122
chr6	39379348	39379552
chr6	39379779	39379923
chr6	58832738	58832753
chr6	73210585	73210789
chr6	144670829	144671033
chr7	37490413	37490617
chr7	80766148	80766352
chr9	14093057	14093203
chr9	21367495	21367699
chr9	32661741	32661945
chr9	42465682	42465886
chr9	44533217	44533421
chr9	48538375	48538579
chr9	57148302	57148506
chr9	114451701	114451905
chr10	12813543	12813747
chr10	14705420	14705624
chr11	11679032	11679236
chr11	96441641	96441845
chr11	96455200	96455404
chr12	11230418	11230622
chr12	54695767	54695971
chr12	65172687	65172891
chr12	107993163	107993367
chr13	56507292	56507496
chr13	95956615	95956819
