chrom1	start1	end1	chrom2	start2	end2	name	score	FDR	strand1	strand2	samplenumber
chr6	129208442	129220492	chr6	129231288	129240143	NA	210	0	.	.	1
chr2	58151949	58157732	chr2	58158964	58165186	NA	150	0	.	.	1
chr7	28371327	28377361	chr7	28377868	28386880	NA	135	0	.	.	1
chr7	83649993	83657438	chr7	83658517	83662316	NA	132	0	.	.	1
chr9	32707989	32712792	chr9	32714366	32728804	NA	126	0	.	.	1
chr2	127310094	127315729	chr2	127316794	127324916	NA	121	0	.	.	1
chr6	41537141	41545676	chr6	41546731	41550920	NA	121	0	.	.	1
chr12	100991428	101000635	chr12	101002403	101016336	NA	115	0	.	.	1
chr14	121928225	121939780	chr14	121954462	121966352	NA	113	0	.	.	1
chr15	66799539	66807689	chr15	66809869	66820823	NA	100	0	.	.	1
chr6	48673050	48690168	chr6	48696809	48701031	NA	100	0	.	.	1
chr2	128363730	128369995	chr2	128372136	128383837	NA	100	0	.	.	1
chr8	72346114	72354977	chr8	72355794	72362103	NA	97	0	.	.	1
chr13	24615771	24624100	chr13	24630960	24642864	NA	97	0	.	.	1
chr7	125481233	125490285	chr7	125490837	125493540	NA	96	0	.	.	1
chr9	32714366	32728804	chr9	32729811	32732169	NA	96	0	.	.	1
chr8	84974246	84986921	chr8	84988891	84991328	NA	95	0	.	.	1
chr9	32588595	32598747	chr9	32714366	32728804	NA	94	0	.	.	1
chr19	11482494	11487289	chr19	11490975	11495332	NA	89	0	.	.	1
chr11	87747956	87752344	chr11	87754482	87761623	NA	88	0	.	.	1
chr6	129183167	129184404	chr6	129208442	129220492	NA	86	0	.	.	1
chr6	129208442	129220492	chr6	129228945	129230651	NA	83	0	.	.	1
chr6	48673050	48690168	chr6	48705576	48709426	NA	82	0	.	.	1
chr7	73527112	73535402	chr7	73616562	73620219	NA	80	0	.	.	1
chr5	65856271	65874322	chr5	65927941	65932843	NA	79	0	.	.	1
chr2	11201237	11206261	chr2	11207919	11213825	NA	79	0	.	.	1
chr4	59325873	59335177	chr4	59335967	59341126	NA	78	0	.	.	1
chr8	126843928	126850566	chr8	126863568	126865767	NA	78	0	.	.	1
chr6	125230340	125243070	chr6	125263670	125267524	NA	75	0	.	.	1
chr14	54167861	54183805	chr14	54202471	54210537	NA	75	0	.	.	1
chr14	54197277	54201315	chr14	54202471	54210537	NA	75	0	.	.	1
