Myo81F 3R:567076-2532932
CR41571 3R:722370-722621
CR12798 3R:1031171-1031354
CR46123 3R:1366234-1366601
CR46122 3R:1865108-1866008
CR40182 3R:2156916-2157206
Pzl 3R:2554162-3263582
CR45220 3R:2744304-2744800
spok 3R:3322810-3354486
Parp 3R:3461351-3587054
Alg-2 3R:3623143-3627690
CR46141 3R:3697234-3697640
Tim17b 3R:3734855-3745306
CG41128 3R:3750363-3752353
CG41099 3R:3846729-3868401
CG42402 3R:4077939-4104326
Gfat1 3R:4126442-4137882
CR41601 3R:4137894-4138652
CG40198 3R:4160610-4162235
CG12581 3R:4174632-4186751
CR33294 3R:4186963-4196210
Dsk 3R:4189692-4190260
beta-Man 3R:4197206-4204572
CG14636 3R:4204493-4215314
aux 3R:4211783-4227518
CG31516 3R:4218463-4220130
DhpD 3R:4227387-4229238
CG14641 3R:4230779-4232342
abs 3R:4233047-4235041
Gel 3R:4235217-4241057
CR46255 3R:4235294-4235973
CG14642 3R:4241045-4242717
CG34305 3R:4242785-4243146
TwdlU 3R:4243606-4245511
TwdlF 3R:4247020-4248313
TwdlG 3R:4248723-4251341
CG14644 3R:4251894-4253043
TwdlV 3R:4254708-4255833
Or82a 3R:4256972-4258444
CG1092 3R:4266770-4268316
CG9766 3R:4269221-4277928
CR45597 3R:4279673-4280057
cpx 3R:4280221-4304604
CG9780 3R:4292274-4294840
mir-929 3R:4295369-4295456
Vps24 3R:4307435-4310947
MP1 3R:4307908-4309835
CR46140 3R:4309944-4310869
Suv3 3R:4311555-4315398
Syt14 3R:4314455-4319069
CG9795 3R:4319683-4326379
CG9776 3R:4327814-4334071
Skp2 3R:4334879-4337674
CG14645 3R:4335098-4335506
CG1103 3R:4337755-4339914
hkb 3R:4345015-4346646
CG1090 3R:4359883-4366855
CR44922 3R:4375084-4377600
Sfxn1-3 3R:4378600-4381210
Cont 3R:4381306-4387018
tub 3R:4387742-4389813
CG14646 3R:4390366-4392111
CG34112 3R:4391711-4394259
CR46139 3R:4393350-4394493
CR45999 3R:4395549-4397548
CG9855 3R:4395979-4397875
CG9853 3R:4398381-4402027
CG14647 3R:4400510-4402017
CR45187 3R:4402429-4402928
lost 3R:4403076-4407182
CG32944 3R:4407227-4419578
CG31528 3R:4416438-4417665
srl 3R:4422483-4429335
CG31525 3R:4427030-4428200
eIF3a 3R:4429798-4433895
CG1074 3R:4433965-4436175
CR46138 3R:4434624-4436101
CG9804 3R:4436222-4437329
CR44134 3R:4436356-4437230
CG14650 3R:4437387-4441328
CG31522 3R:4441415-4462883
CR43629 3R:4452705-4454295
CG31523 3R:4465421-4479207
CG14651 3R:4480812-4484215
Fip1 3R:4485008-4487677
CG34357 3R:4491943-4558067
CG34425 3R:4504612-4506365
CR31526 3R:4533248-4533940
Mur82C 3R:4541356-4543215
CG32945 3R:4577939-4578644
CR45558 3R:4585178-4589308
CR44317 3R:4596283-4599749
5-HT2A 3R:4612870-4633304
CR45673 3R:4634975-4635655
CG9775 3R:4638010-4641838
slx1 3R:4641963-4644636
MED31 3R:4641963-4643292
Dlip2 3R:4644649-4645655
rpk 3R:4645981-4648884
CR44155 3R:4646433-4648242
Karybeta3 3R:4649176-4654624
spartin 3R:4654800-4657985
CG43427 3R:4659579-4712193
CR44156 3R:4660527-4660939
CR44157 3R:4673977-4674610
CG33927 3R:4689951-4690608
eIF3f1 3R:4712882-4714182
CR44923 3R:4718589-4719399
Nep2 3R:4719458-4731878
tacc 3R:4733654-4749056
CR46137 3R:4737500-4737908
mir-9384 3R:4748664-4748723
atms 3R:4750035-4777490
CG44098 3R:4750409-4773197
CG44088 3R:4774516-4775053
CG14655 3R:4777497-4780302
CG17387 3R:4781120-4784722
ctrip 3R:4786284-4812096
Hus1-like 3R:4808336-4812096
CG1129 3R:4811444-4816025
CG1126 3R:4816318-4817776
CG14657 3R:4817980-4821432
CG14658 3R:4829911-4830513
CG14659 3R:4830849-4831297
opa 3R:4852813-4869979
laf 3R:4876005-4878533
CR45580 3R:4896417-4897287
Gnf1 3R:4906622-4910081
Cdep 3R:4910552-4945576
CR45188 3R:4946078-4947278
snRNA:U1:82Eb 3R:4947933-4948096
Ubc6 3R:4948755-4952682
CG14661 3R:4953506-4955252
CG2016 3R:4956999-4961351
CG1124 3R:4965445-4968485
CG14662 3R:4981999-4984232
CR43478 3R:4982265-4983904
CR43424 3R:4984498-4986120
plh 3R:4986500-5011031
CR45585 3R:5015624-5021474
CR43635 3R:5045207-5045948
CR45588 3R:5053181-5053738
corto 3R:5077779-5087072
CG43131 3R:5108678-5109178
CG12007 3R:5128087-5129939
CG12589 3R:5137057-5138989
dpr16 3R:5150908-5170121
CG12590 3R:5159612-5160901
cno 3R:5170004-5217456
snRNA:U4atac 3R:5195004-5195163
Prosbeta2R2 3R:5217751-5219528
CG1116 3R:5219657-5221548
CG2604 3R:5221632-5223365
CG14664 3R:5224139-5225542
Vps37B 3R:5226158-5227526
Kat60 3R:5227289-5232209
Mms19 3R:5232543-5236288
rtp 3R:5236092-5237315
CG12163 3R:5237651-5251745
CG33293 3R:5240014-5240735
CR44019 3R:5250913-5252132
CG1113 3R:5253153-5255403
CG12173 3R:5255444-5256681
Hph 3R:5257037-5269507
Tim17a2 3R:5258336-5262692
CR45793 3R:5263757-5264511
CR45033 3R:5269081-5269507
mtd 3R:5270116-5350443
CG31538 3R:5275678-5277835
Tim17b1 3R:5300145-5301186
CG11999 3R:5353717-5354747
CG1161 3R:5355092-5356748
Prosbeta7 3R:5357012-5358364
Cerk 3R:5358873-5368306
CR44103 3R:5368481-5368806
CG31542 3R:5369540-5371744
CG34277 3R:5369540-5371744
RpII18 3R:5371795-5372397
hd 3R:5372592-5374962
CG14667 3R:5375022-5376460
7B2 3R:5376780-5377975
kkv 3R:5378093-5392866
CG14668 3R:5386717-5387664
tRNA:Arg-TCG-4-1 3R:5388228-5388300
CG1172 3R:5393922-5399510
Or83a 3R:5397643-5399196
CG2663 3R:5400594-5404135
Orco 3R:5407183-5412406
CG14669 3R:5414527-5458394
CG12147 3R:5425369-5427257
PEK 3R:5458563-5464753
RpL35A 3R:5465630-5467101
POLDIP2 3R:5467778-5469566
mRpL44 3R:5469463-5470636
Snr1 3R:5470926-5472754
CG45100 3R:5472810-5474600
HDAC3 3R:5472810-5474600
Hcs 3R:5474899-5485393
ksr 3R:5478390-5483906
CG31550 3R:5485543-5489489
NKCC 3R:5489505-5502702
Nmdar1 3R:5508842-5523328
Itp-r83A 3R:5517117-5539411
CG43845 3R:5522299-5523120
CG2519 3R:5539510-5547775
mia 3R:5548115-5551168
Pcmt 3R:5552823-5554316
Snm1 3R:5555084-5557786
Pi4KIIalpha 3R:5557663-5563652
snoRNA:Pi4KIIalpha-a 3R:5559878-5560038
CR46136 3R:5560472-5561573
CG14671 3R:5563977-5564815
CG12746 3R:5564865-5567435
CG2931 3R:5567502-5568615
Rheb 3R:5568921-5570491
CRMP 3R:5571108-5579189
CG2926 3R:5579301-5588380
rev7 3R:5588873-5589703
noi 3R:5589601-5591459
Vha26 3R:5591763-5595356
kra 3R:5595364-5601136
snoRNA:Psi28S-3385b 3R:5596201-5596340
snoRNA:Psi28S-3385a 3R:5596360-5596509
snoRNA:Psi28S-3091b 3R:5596526-5596658
snoRNA:Psi28S-3091a 3R:5596697-5596831
snoRNA:Psi28S-3571 3R:5597596-5597739
snoRNA:Psi28S-3186 3R:5598015-5598157
snoRNA:Psi28S-2442b 3R:5598423-5598566
snoRNA:Psi28S-2442a 3R:5598638-5598777
CG1427 3R:5601433-5603185
asl 3R:5603236-5606543
Rga 3R:5607275-5613112
ASTR 3R:5607799-5609320
CR46135 3R:5613280-5616308
Atu 3R:5613358-5615939
Spec2 3R:5616644-5624125
CG2911 3R:5622119-5624125
RpL13A 3R:5624474-5625947
snoRNA:Me28S-U2134b 3R:5625178-5625254
snoRNA:Me28S-U2134a 3R:5625367-5625441
CG31551 3R:5627852-5632033
CG31549 3R:5632192-5633321
CG12171 3R:5633627-5634640
CG31546 3R:5634626-5635624
CG31548 3R:5635901-5636852
CG12170 3R:5637234-5638657
MTA1-like 3R:5638655-5648738
Sec23 3R:5649065-5652629
elm 3R:5652640-5654861
MED27 3R:5655139-5656336
CG2182 3R:5656236-5659912
CR44093 3R:5659477-5660570
Wdr33 3R:5660635-5665169
CR46134 3R:5662901-5665032
Xe7 3R:5665139-5669334
Atg17 3R:5669713-5679930
Rab23 3R:5680054-5685434
plx 3R:5685855-5712837
CG2104 3R:5690891-5693286
cas 3R:5712975-5716805
CR44924 3R:5724047-5725321
CG1239 3R:5733513-5734702
CG2100 3R:5734698-5736355
CG1236 3R:5736748-5738013
Sym 3R:5738178-5742476
Madm 3R:5742510-5747138
CG2091 3R:5753318-5754774
Sec8 3R:5754932-5758997
CG2082 3R:5758680-5781076
jagn 3R:5779315-5781308
kat-60L1 3R:5781762-5787465
Hat1 3R:5787337-5789384
Rpn5 3R:5789493-5791569
CG1218 3R:5791879-5793383
CG2046 3R:5793308-5794317
CG10979 3R:5794705-5799994
CG11000 3R:5802328-5813258
CG42675 3R:5813609-5818820
Hpr1 3R:5818794-5821440
CG46303 3R:5821972-5822435
CG2023 3R:5822026-5824532
dgrn 3R:5824615-5826576
glob3 3R:5830062-5831785
CG1208 3R:5831639-5838782
CR45192 3R:5835478-5836178
CG1213 3R:5841170-5846568
CG14676 3R:5847220-5848177
CR10991 3R:5848953-5849688
disp 3R:5849697-5856311
